GeneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;threshold_padj;Overexpressed;Underexpressed
AT4G29150;10,97664232;-1,828561213;0,681909997;-2,681528679;0,007328663;0,027226115;TRUE;FALSE;TRUE
AT5G61610;10,0731434;-1,863606026;0,695606183;-2,679110785;0,007381797;0,027393726;TRUE;FALSE;TRUE
AT3G29590;5,795893379;-2,682520833;1,003362506;-2,67353107;0,007505732;0,027821727;TRUE;FALSE;TRUE
AT5G52760;6,853888662;-2,424653622;0,907860142;-2,670734741;0,007568543;0,027995534;TRUE;FALSE;TRUE
AT3G15440;13,35085257;-1,767459392;0,662238339;-2,668917349;0,007609617;0,028125719;TRUE;FALSE;TRUE
AT5G22980;5,146737118;-3,296527335;1,237879026;-2,663044826;0,00774371;0,028550752;TRUE;FALSE;TRUE
AT1G25330;4,951647156;-3,235608304;1,215141073;-2,662742932;0,00775066;0,028571974;TRUE;FALSE;TRUE
AT3G54065;14,80536238;-1,52696973;0,573512997;-2,662484963;0,007756604;0,028585074;TRUE;FALSE;TRUE
AT1G67020;8,892548787;2,018046828;0,75800396;2,662316999;0,007760476;0,028590534;TRUE;TRUE;FALSE
AT3G55550;7,329997587;2,585978143;0,974773564;2,652901391;0,007980318;0,029310178;TRUE;TRUE;FALSE
AT1G71890;7,192708724;-2,25772435;0,852341922;-2,648848183;0,00807666;0,029604933;TRUE;FALSE;TRUE
AT1G24470;13,20567121;-1,62503708;0,613837712;-2,64733992;0,008112776;0,02972365;TRUE;FALSE;TRUE
AT3G15830;9,248370917;-2,24417421;0,848297492;-2,645503765;0,008156938;0,029858013;TRUE;FALSE;TRUE
AT1G51620;8,933086647;-2,018631562;0,763847009;-2,642717114;0,008224372;0,030040494;TRUE;FALSE;TRUE
AT2G14095;8,690459528;2,190513246;0,830021753;2,639103418;0,008312562;0,0303302;TRUE;TRUE;FALSE
AT3G12900;13,94563981;1,700395307;0,645247397;2,635261009;0,008407261;0,030591738;TRUE;TRUE;FALSE
AT5G26620;10,44111889;1,844170009;0,700686122;2,631948814;0,008489665;0,030844666;TRUE;TRUE;FALSE
AT2G17740;8,444290519;-2,153024102;0,818430573;-2,630674088;0,008521571;0,030937093;TRUE;FALSE;TRUE
AT1G75830;5,599945206;2,797789888;1,066352225;2,623701458;0,008697999;0,031463002;TRUE;TRUE;FALSE
AT5G56795;9,633382306;-1,917083583;0,730982346;-2,622612699;0,00872584;0,031544631;TRUE;FALSE;TRUE
AT1G65481;11,67293575;-1,749130977;0,667239323;-2,621444684;0,008755797;0,031633805;TRUE;FALSE;TRUE
AT4G06075;10,56298964;-2,199556162;0,839366796;-2,620494609;0,008780232;0,031711911;TRUE;FALSE;TRUE
AT1G23670;5,097147568;-3,28375932;1,254779096;-2,617001932;0,008870584;0,031974023;TRUE;FALSE;TRUE
AT3G27810;5,950135329;-3,060558948;1,169860088;-2,616175199;0,008892092;0,032043948;TRUE;FALSE;TRUE
AT1G12100;7,040080514;-2,222931578;0,849896389;-2,615532441;0,008908846;0,032094654;TRUE;FALSE;TRUE
AT1G15050;10,86955649;-1,761259913;0,674836806;-2,609904937;0,009056739;0,032563692;TRUE;FALSE;TRUE
AT3G26110;5,687557801;-2,983293862;1,144443403;-2,606763998;0,009140233;0,032829358;TRUE;FALSE;TRUE
